"Año";"Periodo";"Víctimas mortales"
"2010";"Enero";"139"
"2010";"Febrero";"91"
"2010";"Marzo";"111"
"2010";"Abril";"118"
"2010";"Mayo";"161"
"2010";"Junio";"139"
"2010";"Julio";"174"
"2010";"Agosto";"188"
"2010";"Septiembre";"154"
"2010";"Octubre";"174"
"2010";"Noviembre";"147"
"2010";"Diciembre";"133"
"2011";"Enero";"108"
"2011";"Febrero";"102"
"2011";"Marzo";"104"
"2011";"Abril";"102"
"2011";"Mayo";"139"
"2011";"Junio";"104"
"2011";"Julio";"172"
"2011";"Agosto";"152"
"2011";"Septiembre";"140"
"2011";"Octubre";"114"
"2011";"Noviembre";"123"
"2011";"Diciembre";"124"
"2012";"Enero";"102"
"2012";"Febrero";"98"
"2012";"Marzo";"100"
"2012";"Abril";"106"
"2012";"Mayo";"104"
"2012";"Junio";"109"
"2012";"Julio";"119"
"2012";"Agosto";"141"
"2012";"Septiembre";"138"
"2012";"Octubre";"99"
"2012";"Noviembre";"88"
"2012";"Diciembre";"97"
"2013";"Enero";"80"
"2013";"Febrero";"92"
"2013";"Marzo";"69"
"2013";"Abril";"84"
"2013";"Mayo";"72"
"2013";"Junio";"93"
"2013";"Julio";"113"
"2013";"Agosto";"120"
"2013";"Septiembre";"111"
"2013";"Octubre";"103"
"2013";"Noviembre";"91"
"2013";"Diciembre";"106"
"2014";"Enero";"61"
"2014";"Febrero";"69"
"2014";"Marzo";"90"
"2014";"Abril";"105"
"2014";"Mayo";"77"
"2014";"Junio";"105"
"2014";"Julio";"107"
"2014";"Agosto";"113"
"2014";"Septiembre";"113"
"2014";"Octubre";"93"
"2014";"Noviembre";"105"
"2014";"Diciembre";"94"
"2015";"Enero";"88"
"2015";"Febrero";"79"
"2015";"Marzo";"80"
"2015";"Abril";"76"
"2015";"Mayo";"98"
"2015";"Junio";"82"
"2015";"Julio";"113"
"2015";"Agosto";"113"
"2015";"Septiembre";"120"
"2015";"Octubre";"90"
"2015";"Noviembre";"101"
"2015";"Diciembre";"91"
"2016";"Enero";"90"
"2016";"Febrero";"84"
"2016";"Marzo";"100"
"2016";"Abril";"87"
"2016";"Mayo";"82"
"2016";"Junio";"100"
"2016";"Julio";"124"
"2016";"Agosto";"131"
"2016";"Septiembre";"96"
"2016";"Octubre";"91"
"2016";"Noviembre";"93"
"2016";"Diciembre";"83"
"2017";"Enero";"74"
"2017";"Febrero";"88"
"2017";"Marzo";"90"
"2017";"Abril";"91"
"2017";"Mayo";"84"
"2017";"Junio";"123"
"2017";"Julio";"121"
"2017";"Agosto";"104"
"2017";"Septiembre";"108"
"2017";"Octubre";"123"
"2017";"Noviembre";"99"
"2017";"Diciembre";"93"
"2018";"Enero";"89"
"2018";"Febrero";"85"
"2018";"Marzo";"82"
"2018";"Abril";"77"
"2018";"Mayo";"95"
"2018";"Junio";"114"
"2018";"Julio";"129"
"2018";"Agosto";"131"
"2018";"Septiembre";"97"
"2018";"Octubre";"99"
"2018";"Noviembre";"89"
"2018";"Diciembre";"101"
"2019";"Enero";"73"
"2019";"Febrero";"82"
"2019";"Marzo";"97"
"2019";"Abril";"74"
"2019";"Mayo";"87"
"2019";"Junio";"78"
"2019";"Julio";"116"
"2019";"Agosto";"98"
"2019";"Septiembre";"97"
"2019";"Octubre";"107"
"2019";"Noviembre";"89"
"2019";"Diciembre";"100"
;;
;;
"Métrica":"Víctimas mortales"
"Fuente":"DGT"
"Clasificación":""
"Unidad":"Fallecidas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/muertos-accidentes-ultimos-10-anos/a78f4f24-19ed-4fcd-85b4-02d26b97776b/espana/106"
"Titulo":"Muertos en accidentes de tráfico en los últimos 10 años"
"Subtitulo":"(Datos a 24 horas después del accidente)"
